246200,129,CARRUTHERS,Avenue,KINGSTON,ON,Sunnyside,-76.5119079,44.2355431
544100,647,BRAESIDE,Crescent,KINGSTON,ON,Sutton Mills,-76.572481,44.2522358
217500,53,Carruthers,Avenue,KINGSTON,ON,Sunnyside,-76.5084659,44.2357248
325400,343,SUNRISE,Crescent,KINGSTON,ON,Gardiners / Meadowbrook,-76.543557,44.2446616
235900,226,Westdale,None,Kingston,ON,Sunnyside,-76.5131393,44.2371841
301300,1400,THORNWOOD,Crescent,KINGSTON,ON,Cataraqui Westbrook,-76.5811705,44.2688427
250100,391,MOWAT,Avenue,KINGSTON,ON,Portsmouth,-76.5207253,44.2299624
465400,1410,TAMARAC,Street,KINGSTON,ON,Mile Square,-76.6191398,44.2378948
232700,570,FREEMAN,Crescent,KINGSTON,ON,Greenwood Park / St. Lawrence South,-76.4463548,44.2697703
306700,209,YONGE,Street,KINGSTON,ON,Portsmouth,-76.5175079,44.2237991
319000,212,YORK,Street,KINGSTON,ON,Williamsville,-76.496088,44.2386795
447400,102,YONGE,Street,KINGSTON,ON,Portsmouth,-76.5178687,44.2204491
323000,560,CITATION,Crescent,KINGSTON,ON,Auden Park,-76.5981316,44.2352131
274500,597,HERITAGE,Court,KINGSTON,ON,Waterloo Village,-76.5538001,44.2523718
239300,761,ALFRED,Crescent,KINGSTON,ON,Kingscourt / Novelis (Alcan),-76.4980355,44.2494125
247200,658,SUSSEX,Boulevard,KINGSTON,ON,Bayridge West,-76.593878,44.243634
245900,730,SOMERSET,Crescent,KINGSTON,ON,Sutton Mills,-76.5761005,44.2502287
239600,6,HELENA,Place,KINGSTON,ON,Neighbourhood Unknown,-76.4050395,44.2497044
223900,107,DUNDAS,Street,KINGSTON,ON,Sunnyside,-76.5083749,44.2347959
291000,65,HILLENDALE,Avenue,KINGSTON,ON,Hillendale,-76.5276364,44.2432666
273000,791,ASHLEY,Crescent,KINGSTON,ON,Henderson,-76.5773601,44.2266167
474200,36,park,Crescent,kingston,ON,Reddendale,-76.5666679,44.2133205
320900,783,FAIRFAX,Drive,KINGSTON,ON,Henderson,-76.5765501,44.227613
336600,693,MILLWOOD,Drive,KINGSTON,ON,Auden Park,-76.588219,44.2359214
179400,702,MCLEAN,Court,KINGSTON,ON,Cataraqui River East,-76.459286,44.2587322
306400,10,FALCON,Crescent,KINGSTON,ON,Woodbine,-76.6112527,44.2524254
221400,325,MELANIE,Avenue,KINGSTON,ON,Gardiners / Meadowbrook,-76.5464101,44.2428649
580200,680,RIVERMEADE,Avenue,KINGSTON,ON,Gardiners / Meadowbrook,-76.5399199,44.2462677
214700,237,GUTHRIE,Drive,KINGSTON,ON,Marker's Acres,-76.4789109,44.2742862
306000,1075,DIVISION,Place,KINGSTON,ON,Rideau Heights,-76.4977604,44.2619609
388000,2862,Leeman,Road,Kingston,ON,Elginburg / Silvers Corners / Shannon's Corners,-76.5126394,44.3380175
326200,16,MAIN,Street,KINGSTON,ON,Inner Harbour,-76.4917996,44.2351078
338400,59,Schooner,Drive,KINGSTON,ON,Greenwood Park / St. Lawrence South,-76.4500686,44.2727855
259300,21,ADLEY,Place,KINGSTON,ON,Kingscourt / Novelis (Alcan),-76.5047105,44.2556775
368600,915,BRODIE,Avenue,KINGSTON,ON,Henderson,-76.5844806,44.2212954